hour_dt,prev_e1h_9ema_time,prev_e1h_9ema_value,entry_target,entry_time,entry_price,profit_target,stop_target,high_price,low_price,exit_time,exit_price,exit_reason,profitable,pnl
2025-11-30 19:00:00,2025-11-30 18:00:00,6848.23,6848.25,2025-11-30 19:06:00,6848.25,6888.25,6828.25,6848.25,6828.25,2025-11-30 19:48:00,6828.25,stop,False,-20.0
2025-12-01 04:00:00,2025-12-01 03:00:00,6821.45,6821.5,2025-12-01 04:35:00,6821.5,6861.5,6801.5,6855.75,6805.0,2025-12-01 15:55:00,6825.5,time,True,4.0
2025-12-01 10:00:00,2025-12-01 09:00:00,6822.19,6822.25,2025-12-01 10:25:00,6822.25,6862.25,6802.25,6855.75,6813.75,2025-12-01 15:55:00,6825.5,time,True,3.25
2025-12-01 14:00:00,2025-12-01 13:00:00,6837.29,6837.5,2025-12-01 14:21:00,6837.5,6877.5,6817.5,6839.25,6823.75,2025-12-01 15:55:00,6825.5,time,False,-12.0
2025-12-02 10:00:00,2025-12-02 09:00:00,6840.14,6840.25,2025-12-02 10:29:00,6840.25,6880.25,6820.25,6863.5,6820.25,2025-12-02 11:31:00,6820.25,stop,False,-20.0
2025-12-02 11:00:00,2025-12-02 10:00:00,6844.16,6844.25,2025-12-02 11:12:00,6844.25,6884.25,6824.25,6844.5,6824.25,2025-12-02 11:25:00,6824.25,stop,False,-20.0
2025-12-02 15:00:00,2025-12-02 14:00:00,6839.89,6840.0,2025-12-02 15:54:00,6840.0,6880.0,6820.0,6840.25,6839.75,2025-12-02 15:55:00,6840.25,time,True,0.25
2025-12-02 19:00:00,2025-12-02 18:00:00,6841.44,6841.5,2025-12-02 19:20:00,6841.5,6881.5,6821.5,6862.25,6821.5,2025-12-03 09:09:00,6821.5,stop,False,-20.0
2025-12-03 01:00:00,2025-12-03 00:00:00,6850.0,6850.0,2025-12-03 01:35:00,6850.0,6890.0,6830.0,6862.25,6830.0,2025-12-03 09:05:00,6830.0,stop,False,-20.0
2025-12-03 02:00:00,2025-12-03 01:00:00,6850.65,6850.75,2025-12-03 02:45:00,6850.75,6890.75,6830.75,6862.25,6830.75,2025-12-03 09:05:00,6830.75,stop,False,-20.0
2025-12-03 03:00:00,2025-12-03 02:00:00,6851.02,6851.25,2025-12-03 03:18:00,6851.25,6891.25,6831.25,6862.25,6831.25,2025-12-03 09:04:00,6831.25,stop,False,-20.0
2025-12-03 04:00:00,2025-12-03 03:00:00,6851.86,6852.0,2025-12-03 04:04:00,6852.0,6892.0,6832.0,6862.25,6832.0,2025-12-03 09:04:00,6832.0,stop,False,-20.0
2025-12-03 09:00:00,2025-12-03 08:00:00,6853.19,6853.25,2025-12-03 09:01:00,6853.25,6893.25,6833.25,6853.25,6833.25,2025-12-03 09:04:00,6833.25,stop,False,-20.0
2025-12-03 19:00:00,2025-12-03 18:00:00,6860.15,6860.25,2025-12-03 19:54:00,6860.25,6900.25,6840.25,6880.75,6840.25,2025-12-04 14:21:00,6840.25,stop,False,-20.0
2025-12-03 21:00:00,2025-12-03 20:00:00,6860.27,6860.5,2025-12-03 21:00:00,6860.5,6900.5,6840.5,6880.75,6840.5,2025-12-04 14:21:00,6840.5,stop,False,-20.0
2025-12-03 22:00:00,2025-12-03 21:00:00,6860.86,6861.0,2025-12-03 22:02:00,6861.0,6901.0,6841.0,6880.75,6841.0,2025-12-04 14:21:00,6841.0,stop,False,-20.0
2025-12-04 00:00:00,2025-12-03 23:00:00,6861.18,6861.25,2025-12-04 00:20:00,6861.25,6901.25,6841.25,6880.75,6841.25,2025-12-04 14:21:00,6841.25,stop,False,-20.0
2025-12-04 03:00:00,2025-12-04 02:00:00,6862.9,6863.0,2025-12-04 03:00:00,6863.0,6903.0,6843.0,6880.75,6843.0,2025-12-04 14:20:00,6843.0,stop,False,-20.0
2025-12-04 05:00:00,2025-12-04 04:00:00,6863.3,6863.5,2025-12-04 05:38:00,6863.5,6903.5,6843.5,6880.75,6843.5,2025-12-04 14:20:00,6843.5,stop,False,-20.0
2025-12-04 08:00:00,2025-12-04 07:00:00,6864.5,6864.5,2025-12-04 08:31:00,6864.5,6904.5,6844.5,6880.75,6844.5,2025-12-04 10:25:00,6844.5,stop,False,-20.0
2025-12-04 12:00:00,2025-12-04 11:00:00,6862.22,6862.25,2025-12-04 12:06:00,6862.25,6902.25,6842.25,6871.0,6842.25,2025-12-04 14:20:00,6842.25,stop,False,-20.0
