c_datetime,c_open,c_high,c_low,c_close,c_volume,c_symbol,c_timeframe,c_epoch
2025-11-30 18:00:00,6854.75,6862.5,6854.25,6862.25,1599,ES,1m,1764543600
2025-11-30 18:01:00,6862.25,6863.0,6858.25,6859.5,684,ES,1m,1764543660
2025-11-30 18:02:00,6859.25,6861.25,6857.75,6858.5,478,ES,1m,1764543720
2025-11-30 18:03:00,6858.75,6859.25,6856.0,6856.75,722,ES,1m,1764543780
2025-11-30 18:04:00,6856.5,6859.75,6855.25,6855.75,416,ES,1m,1764543840
2025-11-30 18:05:00,6855.5,6856.25,6854.25,6855.75,365,ES,1m,1764543900
2025-11-30 18:06:00,6856.0,6857.0,6855.25,6856.75,277,ES,1m,1764543960
2025-11-30 18:07:00,6856.5,6858.25,6856.5,6858.0,308,ES,1m,1764544020
2025-11-30 18:08:00,6857.75,6859.75,6857.75,6859.25,447,ES,1m,1764544080
2025-11-30 18:09:00,6859.25,6859.5,6858.25,6859.0,154,ES,1m,1764544140
2025-11-30 18:10:00,6859.0,6859.25,6858.25,6859.0,100,ES,1m,1764544200
2025-11-30 18:11:00,6859.0,6859.0,6857.75,6857.75,167,ES,1m,1764544260
2025-11-30 18:12:00,6857.75,6858.5,6857.0,6857.75,445,ES,1m,1764544320
2025-11-30 18:13:00,6857.75,6858.5,6857.5,6858.25,112,ES,1m,1764544380
2025-11-30 18:14:00,6858.25,6858.75,6858.0,6858.75,133,ES,1m,1764544440
2025-11-30 18:15:00,6859.0,6860.0,6858.5,6858.5,472,ES,1m,1764544500
2025-11-30 18:16:00,6858.5,6860.0,6858.25,6859.25,129,ES,1m,1764544560
2025-11-30 18:17:00,6859.25,6859.5,6858.5,6859.5,65,ES,1m,1764544620
2025-11-30 18:18:00,6859.75,6861.25,6859.5,6860.5,402,ES,1m,1764544680
2025-11-30 18:19:00,6860.5,6861.75,6860.5,6861.0,248,ES,1m,1764544740
2025-11-30 18:20:00,6861.25,6861.75,6860.75,6861.5,293,ES,1m,1764544800
2025-11-30 18:21:00,6861.5,6861.75,6861.5,6861.5,126,ES,1m,1764544860
2025-11-30 18:22:00,6861.75,6861.75,6860.75,6861.25,117,ES,1m,1764544920
2025-11-30 18:23:00,6861.25,6861.25,6860.75,6861.25,182,ES,1m,1764544980
2025-11-30 18:24:00,6861.25,6862.75,6861.25,6862.75,212,ES,1m,1764545040
2025-11-30 18:25:00,6862.75,6864.5,6862.25,6862.75,537,ES,1m,1764545100
2025-11-30 18:26:00,6862.75,6863.5,6861.25,6861.5,217,ES,1m,1764545160
2025-11-30 18:27:00,6861.5,6862.0,6861.0,6861.25,132,ES,1m,1764545220
2025-11-30 18:28:00,6861.25,6861.75,6860.25,6860.5,94,ES,1m,1764545280
2025-11-30 18:29:00,6860.5,6860.75,6860.0,6860.5,92,ES,1m,1764545340
2025-11-30 18:30:00,6860.25,6860.5,6857.0,6857.25,385,ES,1m,1764545400
2025-11-30 18:31:00,6857.0,6857.0,6854.25,6854.75,461,ES,1m,1764545460
2025-11-30 18:32:00,6854.75,6855.75,6854.5,6855.0,207,ES,1m,1764545520
2025-11-30 18:33:00,6855.0,6856.25,6855.0,6855.25,186,ES,1m,1764545580
2025-11-30 18:34:00,6855.0,6855.0,6852.0,6852.5,235,ES,1m,1764545640
2025-11-30 18:35:00,6852.5,6854.0,6851.5,6853.0,296,ES,1m,1764545700
2025-11-30 18:36:00,6853.25,6854.25,6852.75,6853.5,164,ES,1m,1764545760
2025-11-30 18:37:00,6853.0,6853.0,6852.25,6852.75,104,ES,1m,1764545820
2025-11-30 18:38:00,6853.0,6853.25,6852.25,6853.0,76,ES,1m,1764545880
2025-11-30 18:39:00,6852.75,6853.0,6851.5,6851.75,149,ES,1m,1764545940
2025-11-30 18:40:00,6851.75,6852.0,6849.5,6850.25,460,ES,1m,1764546000
2025-11-30 18:41:00,6850.5,6852.5,6850.5,6852.25,168,ES,1m,1764546060
2025-11-30 18:42:00,6852.25,6852.5,6851.25,6851.5,169,ES,1m,1764546120
2025-11-30 18:43:00,6851.5,6851.5,6849.5,6849.75,275,ES,1m,1764546180
2025-11-30 18:44:00,6850.0,6850.0,6848.75,6849.25,158,ES,1m,1764546240
2025-11-30 18:45:00,6848.75,6851.75,6848.5,6851.5,218,ES,1m,1764546300
2025-11-30 18:46:00,6851.25,6851.25,6850.0,6851.0,129,ES,1m,1764546360
2025-11-30 18:47:00,6851.0,6851.5,6850.25,6851.25,80,ES,1m,1764546420
